split,model,param,value,val_auc
Stratified per Trial,Logistic Regression,epoch,10,0.872257863021752
Stratified per Trial,Logistic Regression,epoch,11,0.847468768371546
Stratified per Trial,Logistic Regression,epoch,12,0.8411772486772486
Stratified per Trial,Logistic Regression,epoch,13,0.8215490887713109
Stratified per Trial,Logistic Regression,epoch,14,0.7817750587889477
Stratified per Trial,Logistic Regression,epoch,15,0.9155893592004704
Stratified per Trial,Logistic Regression,epoch,16,0.9071105232216345
Stratified per Trial,Logistic Regression,epoch,17,0.7622097295708405
Stratified per Trial,Logistic Regression,epoch,18,0.7731393298059965
Stratified per Trial,Logistic Regression,epoch,19,0.9045072751322752
Stratified per Trial,Logistic Regression,epoch,20,0.8324941211052322
Stratified per Trial,Logistic Regression,epoch,21,0.8497784391534391
Stratified per Trial,Logistic Regression,epoch,22,0.9073883009994121
Stratified per Trial,Logistic Regression,epoch,23,0.8972927689594357
Stratified per Trial,Logistic Regression,epoch,24,0.8380812757201646
Stratified per Trial,Logistic Regression,epoch,25,0.8348644179894179
Stratified per Trial,Logistic Regression,epoch,26,0.8297619047619048
Stratified per Trial,Logistic Regression,epoch,27,0.9252630805408583
Stratified per Trial,Logistic Regression,epoch,28,0.860978468547913
Stratified per Trial,Logistic Regression,epoch,29,0.8576557907113462
Stratified per Trial,Logistic Regression,epoch,30,0.8578762492651383
Stratified per Trial,Logistic Regression,epoch,31,0.8645737801293357
Stratified per Trial,Logistic Regression,epoch,32,0.896735743680188
Stratified per Trial,Logistic Regression,epoch,33,0.8461662257495591
Stratified per Trial,Logistic Regression,epoch,34,0.8927098030570253
Stratified per Trial,Logistic Regression,epoch,35,0.8903328924162257
Stratified per Trial,Logistic Regression,epoch,36,0.8825150646678425
Stratified per Trial,Logistic Regression,epoch,37,0.8945550411522634
Stratified per Trial,Logistic Regression,epoch,38,0.8478409758965315
Stratified per Trial,Logistic Regression,epoch,39,0.896629923574368
Stratified per Trial,Logistic Regression,epoch,40,0.8402630805408583
Stratified per Trial,Random Forest,n_estimators,10,0.5114908509700177
Stratified per Trial,Random Forest,n_estimators,25,0.5516189006466784
Stratified per Trial,Random Forest,n_estimators,50,0.6450196575543797
Stratified per Trial,Random Forest,n_estimators,100,0.7073502718988831
Stratified per Trial,Random Forest,n_estimators,200,0.7014816651969429
Stratified per Trial,Random Forest,n_estimators,350,0.697865777483833
Stratified per Trial,Random Forest,n_estimators,500,0.6990351263962374
Stratified per Trial,Random Forest,n_estimators,750,0.6942660567313343
Stratified per Trial,Random Forest,n_estimators,1000,0.6914912184009406
Stratified per Trial,Decision Tree,max_depth,1,0.5
Stratified per Trial,Decision Tree,max_depth,2,0.656139770723104
Stratified per Trial,Decision Tree,max_depth,3,0.6999154908877131
Stratified per Trial,Decision Tree,max_depth,5,0.4251877572016461
Stratified per Trial,Decision Tree,max_depth,7,0.689566431510876
Stratified per Trial,Decision Tree,max_depth,9,0.2814440035273369
Stratified per Trial,Decision Tree,max_depth,11,0.555650352733686
Stratified per Trial,Decision Tree,max_depth,15,0.4927193562610229
Stratified per Trial,Decision Tree,max_depth,None,0.5974096119929453
Stratified per Trial,KNN,k,1,0.706090167548501
Stratified per Trial,KNN,k,3,0.6522398589065256
Stratified per Trial,KNN,k,5,0.757853835978836
Stratified per Trial,KNN,k,7,0.7647323265726044
Stratified per Trial,KNN,k,9,0.7742498897707231
Stratified per Trial,KNN,k,11,0.7624946722516168
Stratified per Trial,KNN,k,15,0.7490713183421517
Stratified per Trial,KNN,k,21,0.703462485302763
Stratified per Trial,KNN,k,31,0.6867978395061728
